X,Y,Z,R,P,Y
0.559481164046192,-0.0570335844280132,0.0122943159512304,12,-23,-41
0.721069403366267,-0.226039018071663,-0.0346891794028314,-12,32,-5
0.71283447563525,0.172515978838164,0.130219175519529,3,-8,29
0.714493676463168,-0.222113134792665,0.0513106886185668,0,-17,-20
0.566219387051611,-0.102401320075178,-0.0437964520997014,-3,41,-17
0.702202563430637,0.190634655399821,-0.0515820531586795,-0,20,44
0.644533708734599,0.187033808327194,0.071613364160769,12,-41,5
0.709773232182432,0.0288076357597958,0.14976257307952,-12,-8,23
0.684615543532577,-0.0691718757252794,0.0881949237667112,-0,-17,-11
0.636320669655701,-0.210759965923642,0.0662469051392998,-6,-38,-17
0.482976321398092,0.0865093130024481,0.0296330346151822,-9,-8,26
0.744698102748673,0.169778807873342,-0.105947549298778,0,17,29
0.714493676463168,-0.262780127678011,-0.157722091147121,-3,26,-5
0.547716075049541,-0.0741900981304088,-0.0164687032563657,-6,8,-32
0.648981918108816,0.083219447970108,0.0831971044500012,-15,-17,38
0.657717588185919,-0.0716135227455372,0.11494649345042,-15,-8,-41
0.45274487304434,0.10754720805304,-0.0155195803717754,-12,20,29
0.724007359376474,-0.19368617870414,0.0963468463651541,12,-26,-32
0.476168810516079,-0.117575442431661,-0.0487451374591268,-6,26,-8
0.716126367894213,-0.122880668592801,0.146077227481994,12,-14,-5
0.508478631059241,0.0567539413296556,0.0444683704178254,-12,-23,26
0.654480644000209,-0.106179164723476,0.0939813098659873,-6,-44,-8
0.700377898773059,-0.174027530552306,0.140266718720754,-3,-14,-32
0.706120461739028,-0.192625284687455,0.142854661567853,-9,-35,-23
0.65842506405729,-0.163909071620241,-0.0723240448739855,-3,38,-20
