X,Y,Z,R,P,Y
0.487702583564882,-0.0991810551004782,-0.0474040517771399,-9,29,-17
0.593718247307933,0.0612711833104383,0.0499843577598136,-0,-5,35
0.697663941569695,-0.137801663286344,0.128326459227042,3,-14,-14
0.584921459758323,-0.0838645446233294,0.0473580725306493,-0,-38,-11
0.719805580901681,0.165654804553199,0.151570078562326,6,-5,35
0.55030921319864,0.0124229424930713,-0.0143777367308307,9,26,29
0.688515468338919,0.141072080632806,0.0507535711463667,-0,-26,5
0.691900852859991,-0.184883477117781,0.0710496454702769,3,-17,-41
0.736828687109539,0.249172298321091,-0.110448822336448,-0,5,29
0.619916300792378,-0.149902575783207,-0.0835417034778834,-9,44,-5
0.603843184451554,-0.0730284064042302,0.0554252798137909,3,-41,-5
0.572543985880978,-0.0583515279098987,0.091095547535519,-15,-8,-11
0.706644609323266,0.22633258419638,-0.156624549890626,12,14,14
0.650026054528532,-0.0506416874868148,-0.102678876162465,-12,32,-8
0.71866896788408,0.103749344694833,-0.0139913107794228,12,41,5
0.543363598158258,0.146380802520496,0.0818259331531923,12,-11,20
0.552317456498078,-0.130565908991637,-0.0613136959068215,-6,20,-35
0.720389018686158,-0.0538251879219724,-0.0659441501271376,15,32,-8
0.518573311636581,-0.0438736364405519,0.0566677545837527,-9,-32,-17
0.575233446733833,-0.127826198515117,-0.0431886908796873,-12,35,-38
0.720389018686158,0.203545962586808,-0.121551337297173,-0,11,44
0.707541176981779,-0.215367306432113,0.0899369570908258,9,-32,-11
0.733381545560312,-0.219553870686428,-0.0745087448790728,-12,8,-20
0.532222788541002,0.148912202002718,-0.0452552603015635,-12,38,5
0.722362571798682,0.120677110195661,-0.115500954411497,12,5,32
0.566414638339239,-0.101222819631212,0.0670077181508566,15,-35,-11
0.665313846720751,0.0648274948669488,-0.11932175260293,6,11,32
0.596589634847673,-0.0643219363968717,-0.0999969353832926,-0,38,-23
0.574100514230168,-0.162697305443907,0.0857003998297586,6,-44,-17
0.63091749256415,0.114908403852554,0.0640787020396518,3,-23,26
0.592769981485904,-0.192504552747543,0.105331066182762,-0,-5,-20
0.748236718327972,0.125120705790354,0.14486746260774,9,-8,38
0.678493316240727,-0.239815876687428,0.079296321109385,-15,-38,-5
0.6095584037854,-0.0893583400329217,-0.0417066626911803,-12,41,-20
0.698359624330762,-0.0787121299868272,0.151670701059457,9,-35,-20
0.516299623765185,-0.0800410502778658,0.063833701272798,-9,-41,-17
0.705369138122584,-0.232433730396303,-0.121652110137397,15,14,-41
0.748945019476038,-0.107835662370101,-0.0731564035517547,12,20,-17
0.552317456498078,-0.0230969668065546,-0.0245682673994552,-6,38,-35
0.638954066031898,-0.0485168410912252,-0.0741544112697569,-9,32,-35
0.724925685786459,0.100875003553292,0.100788402118768,-6,-41,20
0.693603208214185,-0.160258387616824,-0.13350844214524,-6,29,-14
0.607119731710095,-0.162531740169623,0.036098609643131,-15,-23,-32
0.675842850849701,0.172961817630133,0.103768287656404,9,-26,17
0.716463170405127,-0.158647040547135,-0.155519185563468,-15,5,-11
0.710062243623188,-0.0780932288643592,0.0820236811285386,0,-35,-41
0.597401499176702,0.19086453439928,-0.0247643458358112,-6,23,14
0.534565696109721,-0.0609634941480992,0.054041074718784,-6,-5,-29
0.653322768085672,-0.22617431377733,0.0754342325951121,0,-8,-23
0.558672942339124,-0.0617923340906096,0.0526159457074605,-15,-17,-26
0.536185147612933,-0.0871093332104188,0.0227680223384588,-3,-29,-23
0.576632873091048,0.130738837991901,-0.0853028530531664,3,11,23
0.533999934662074,0.0466244044738587,0.0805996819483261,-0,-17,23
0.591731159650123,0.087578827066519,0.0750402125909793,15,-23,11
0.591731159650123,-0.0850467576356615,0.0274248455472981,12,-44,-17
0.540472483829715,-0.156766365840201,0.0516029855264717,6,-26,-14
0.608175782867008,-0.185225779717159,-0.0436996440824289,0,14,-38
0.633765721987074,0.20607516296819,0.0936716359164411,-3,-32,23
0.531490561767577,0.103557993729908,-0.0386962306221137,-6,35,8
0.608175782867008,0.0730884623512723,-0.0892398787839749,15,23,8
0.710062243623188,0.0831596109605783,0.130770118633774,-3,-17,29
0.651553971000899,0.102658684805858,0.132792360716936,-12,-5,44
0.529646793169471,0.125055860904708,-0.016049149765304,15,23,29
0.720389018686158,-0.259328930832681,-0.112470852837465,15,44,-11
0.585464631688366,0.101293146455599,-0.0196870176234038,-6,20,41
0.691900852859991,-0.159238908632328,0.0858189938984159,-6,-20,-23
0.575233446733833,0.147200097996521,0.0625493376418769,12,-29,29
0.525905111222202,0.153863501313653,0.0301082763190926,-9,-29,11
0.629922258172524,-0.162507488750963,-0.093678933370192,-3,8,-20
0.741737487767805,-0.108662227959891,-0.0597232663258403,-0,35,-38
0.704529877663194,0.139968787586424,0.0596883726067511,-9,-5,44
0.744963116108429,-0.118388222203432,-0.0461148295763814,-3,23,-44
0.710062243623188,0.128389691830611,0.0852573364397814,0,-17,29
0.697663941569695,0.2064361126144,0.066823727670788,-0,-11,38
0.667163368175746,0.184524944819707,0.132899196337339,-0,-23,38
0.704529877663194,0.254294228802241,0.147693829979544,-0,-17,32
